,date,description,link
0,"April 26, 2016",Girls Encoded Motivates Students to Study CS,http://www.eecs.umich.edu/eecs/about/articles/2016/Girls-Encoded.html
1,"November 4, 2015",Lie-detecting algorithm spots fibbing faces better than humans,https://www.newscientist.com/article/mg22830462-700-lie-detecting-algorithm-spots-fibbing-faces-better-than-humans/
