Date,Time,Topic,Presenters,PresentersWebsites,PaperAuthors,PaperTitles,PaperConferences,PaperLinks,Slides,Location,Category,Semester,Past,
5/15/18,2:00-3:00pm,Deep Learning Architectures for NLP (Classic),Laura Wendlandt,http://wendlandt.github.io/,"Wang, Haohan and Bhiksha Raj",On the Origin of Deep Learning,,https://arxiv.org/pdf/1702.07800.pdf,,BBB 3901,LIT,Summer 2018,TRUE,
5/22/18,2:00-3:00pm,Deep Learning Architectures for NLP (Modern),Anamaria Cuza,,"Annervaz, K.M., Somnath Basu Roy Chowdhury, and Ambedkar Dukkipati", Learning beyond datasets: Knowledge Graph Augmented Neural Networks for Natural language Processing,NAACL 2018,https://arxiv.org/abs/1802.05930,,BBB 3901,LIT,Summer 2018,TRUE,
5/29/18,2:00-3:00pm,Deep Learning Architectures for NLP (Modern),Harry Zhang,http://www-personal.umich.edu/~zharry/,"Kumar, Ankit et al",Ask Me Anything: Dynamic Memory Networks for Natural Language Processing,PMLR 2016,http://proceedings.mlr.press/v48/kumar16.pdf,,BBB 3901,LIT,Summer 2018,TRUE,
6/5/18,2:00-3:00pm,Word Embeddings (Classic),Amy Rechkemmer,,"Mikolov, Tomas, et al",Distributed representations of words and phrases and their compositionality,NIPS 2013,http://papers.nips.cc/paper/5021-distributed-representations-of-words-and-phrases-and-their-compositionality.pdf,,BBB 3901,LIT,Summer 2018,TRUE,
6/12/18,2:00-3:00pm,Word Embeddings (Classic),Emre Kazan,,"Luong, Minh-Thang, Richard Socher, and Christopher D. Manning",Better Word Representations with Recursive Neural Networks for Morphology,CoNLL 2013,http://www.aclweb.org/anthology/W13-3512,,BBB 3901,LIT,Summer 2018,TRUE,
6/19/18,2:00-3:00pm,Word Embeddings (Modern),Wei Lee,,"Athiwaratkun, Ben, Andrew Gordon Wilson, and Anima Anandkumar",Probabilistic FastText for Multi-Sense Word Embeddings,ACL 2018,https://arxiv.org/pdf/1806.02901.pdf,,BBB 3901,LIT,Summer 2018,TRUE,
6/26/18,2:00-3:00pm,Word Embeddings (Modern),Steve Wilson,http://nlp.eecs.umich.edu/~steverw,"Nickel, Maximilian and Douwe Kiela",Poincaré Embeddings for Learning Hierarchical Representations,NIPS 2017,http://papers.nips.cc/paper/7213-poincare-embeddings-for-learning-hierarchical-representations.pdf,,BBB 3901,LIT,Summer 2018,TRUE,
7/3/18,2:00-3:00pm,Domain Adaptation (Classic),Yiting Shen,,"Blitzer, John, Ryan McDonald, and Fernando Pereira",Domain Adaptation with Structural Correspondence Learning,EMNLP 2006,https://aclanthology.info/pdf/W/W06/W06-1615.pdf,,BBB 3901,LIT,Summer 2018,TRUE,
7/10/18,2:00-3:00pm,Domain Adaptation (Classic),Duc Bui,https://web.eecs.umich.edu/~ducbui/,"Daumé, Hal",Frustratingly Easy Domain Adaptation,ACL 2007,https://arxiv.org/pdf/0907.1815.pdf,,BBB 3901,LIT,Summer 2018,TRUE,
7/17/18,2:00-3:00pm,Domain Adaptation (Modern),Tawfiq Ammari,http://www-personal.umich.edu/~tawfiqam/,"Rieman, Daniel et al",Domain Adaptation from User-level Facebook Models to County-level Twitter Predictions,IJCNLP 2017,http://aclweb.org/anthology/I17-1077,,BBB 3901,LIT,Summer 2018,TRUE,
7/24/18,2:00-3:00pm,Domain Adaptation (Modern),Yiting Shen,,"Wu, Fangzhao, Yongfeng Huang, and Jun Yan",Active Sentiment Domain Adaptation,ACL 2017,http://www.aclweb.org/anthology/P17-1156,,BBB 3901,LIT,Summer 2018,TRUE,
7/31/18,2:00-3:00pm,Text Generation (Classic),Emre Kazan,,"Barzilay, Regina, and Lillian Lee",Bootstrapping Lexical Choice via Multiple-Sequence Alignment,EMNLP 2002,http://www.aclweb.org/anthology/W02-1022,,BBB 3901,LIT,Summer 2018,TRUE,
8/7/18,2:00-3:00pm,Text Generation (Modern),Tawfiq Ammari,http://www-personal.umich.edu/~tawfiqam/,"Yao, Yuanshun et al",Automated Crowdturfing Attacks and Defenses in Online Review Systems,Computer and Communications Security 2017,https://arxiv.org/pdf/1708.08151.pdf,,BBB 3901,LIT,Summer 2018,TRUE,
8/14/18,,,,,NO READING GROUP THIS WEEK,,,,,,LIT,Summer 2018,TRUE,
8/21/18,2:00-3:00pm,Multimodal NLP (Classic),Cristian-Paul Bara,,"Pan, Jia-Yu, Hyung-Jeong Yang, Christos Faloutsos, and Pinar Duygulu",Automatic Multimedia Cross-modal Correlation Discovery,SIGKDD 2004,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.127.7605&rep=rep1&type=pdf,,BBB 3901,LIT,Summer 2018,TRUE,
8/28/18,2:00-3:00pm,Multimodal NLP (Modern),Oana Ignat,,"Pustejovsky, James and Nikhil Krishnaswamy",VoxML: A Visualization Modeling Language,LREC 2016,http://www.lrec-conf.org/proceedings/lrec2016/pdf/1101_Paper.pdf,,BBB 3901,LIT,Summer 2018,TRUE,
1/18/18,3:00-4:00pm,,Steve Wilson,http://nlp.eecs.umich.edu/~steverw,"Hendricks, Lisa Anne et al",Generating Visual Explanations,ECCV 2016,https://arxiv.org/pdf/1603.08507.pdf,,BBB 2725,LIT,Winter 2018,TRUE,
1/25/18,3:00-4:00pm,,Laura Wendlandt,http://wendlandt.github.io/,"Luo, Bingfeng, et al",Learning with noise: enhance distantly supervised relation extraction with dynamic transition matrix,ACL 2017,http://www.aclweb.org/anthology/P17-1040,,BBB 2725,LIT,Winter 2018,TRUE,
2/1/18,3:00-4:00pm,,Charlie Welch,http://cfwelch.com/,"Zhang, Saizheng et al","Personalizing Dialogue Agents: I have a dog, do you have pets too?",,https://arxiv.org/pdf/1801.07243.pdf,,BBB 2725,LIT,Winter 2018,TRUE,
2/8/18,3:00-4:00pm,,Ben King,,"Johnson, Melvin et al",Google’s Multilingual Neural Machine Translation System: Enabling Zero-Shot Translation,ACL 2017,https://arxiv.org/pdf/1611.04558.pdf,,BBB 2725,LIT,Winter 2018,TRUE,
2/15/18,3:00-4:00pm,,Mahmoud Azab,http://web.eecs.umich.edu/~mazab/,"Ji, Yangfeng et al",Dynamic Entity Representations in Neural Language Models,EMNLP 2017,https://arxiv.org/pdf/1708.00781.pdf,,BBB 2725,LIT,Winter 2018,TRUE,
2/22/18,3:00-4:00pm,,Oana Ignat,,"Cirik, Volkan, Taylor Berg-Kirkpatrick, and Louis-Philippe Morency",Using Syntax to Ground Referring Expressions in Natural Images,AAAI 2018,https://www.cs.cmu.edu/~vcirik/assets/pdf/AAAI2018_cirik_using.pdf,,BBB 2725,LIT,Winter 2018,TRUE,
3/1/18,,,,,NO READING GROUP THIS WEEK,,,,,,LIT,Winter 2018,TRUE,
3/8/18,3:00-4:00pm,,Tawfiq Ammari,http://www-personal.umich.edu/~tawfiqam/,"Shen, Yanyao et al",Deep Active Learning for Named Entity Recognition,ICLR 2018,https://arxiv.org/pdf/1707.05928.pdf,,BBB 2725,LIT,Winter 2018,TRUE,
3/15/18,3:00-4:00pm,,Harry Zhang,http://www-personal.umich.edu/~zharry/,"Hashimoto, Kazuma, Caiming Xiong, Yoshimasa Tsuruoka, and Richard Socher",A Joint Many-Task Model: Growing a Neural Network for Multiple NLP Tasks,EMNLP 2017,https://arxiv.org/pdf/1611.01587.pdf,,BBB 2725,LIT,Winter 2018,TRUE,
3/22/18,3:00-4:00pm,,Steve Wilson,http://nlp.eecs.umich.edu/~steverw,"Lai, Guokun, Qizhe Xie, Hanxiao Liu, Yiming Yang, and Eduard Hovy",RACE: Large-scale ReAding Comprehension Dataset From Examinations,,https://arxiv.org/pdf/1704.04683.pdf,,BBB 2725,LIT,Winter 2018,TRUE,
3/29/18,3:00-4:00pm,,Cristian-Paul Bara,,"Pilehvar, Mohammad Taher, Jose Camacho-Collados, Roberto Navigli, and Nigel Collier",Towards a Seamless Integration of Word Senses into Downstream NLP Applications,ACL 2017,https://arxiv.org/pdf/1710.06632.pdf,,BBB 2725,LIT,Winter 2018,TRUE,
4/5/18,3:00-4:00pm,,Laura Wendlandt,http://wendlandt.github.io/,"Aldarmaki, Hanan, Mahesh Mohan, and Mona Diab",Unsupervised Word Mapping Using Structural Similarities in Monolingual Embeddings,TACL 2018,https://www.transacl.org/ojs/index.php/tacl/article/view/1317/292,,BBB 2725,LIT,Winter 2018,TRUE,
4/12/18,3:00-4:00pm,,Dan Pressel,,"Peters, Matthew et al",Deep contextualized word representations,NAACL 2018,https://export.arxiv.org/pdf/1802.05365,,BBB 2725,LIT,Winter 2018,TRUE,
9/22/17,1:00-2:00pm,,Steve Wilson,http://nlp.eecs.umich.edu/~steverw,"Bahdanau, Dzmitry et al",Learning to Compute Word Embeddings On the Fly,,https://arxiv.org/pdf/1706.00286.pdf,,BBB 2725,LIT,Fall 2017,TRUE,
9/29/17,1:00-2:00pm,,Aparna Garimella,,"Bolukbasi, Tolga, Kai-Wei Chang, James Zou, Venkatesh Saligrama, and Adam Kalai",Man is to Computer Programmer as Woman is to Homemaker? Debiasing Word Embeddings,NIPS 2016,https://papers.nips.cc/paper/6228-man-is-to-computer-programmer-as-woman-is-to-homemaker-debiasing-word-embeddings.pdf,,BBB 2725,LIT,Fall 2017,TRUE,
10/6/17,1:00-2:00pm,,Rada Mihalcea,https://web.eecs.umich.edu/~mihalcea/,"Hossain, Nabil, John Krumm, Lucy Vanderwende, Eric Horvitz, and Henry Kautz",Filling in the Blanks for Mad Libs Humor,EMNLP 2017,http://aclweb.org/anthology/D17-1068,,BBB 2725,LIT,Fall 2017,TRUE,
10/13/17,1:00-2:00pm,,Laura Wendlandt,http://wendlandt.github.io/,"Rehbein, Ines and Josef Ruppenhofer",Detecting annotation noise in automatically labelled data,ACL 2017,http://www.aclweb.org/anthology/P/P17/P17-1107.pdf,,BBB 2725,LIT,Fall 2017,TRUE,
10/20/17,1:00-2:00pm,,Dan Pressel,,"Vaswani, Ashish et al",Attention Is All You Need,,https://arxiv.org/pdf/1706.03762.pdf,,BBB 2725,LIT,Fall 2017,TRUE,
10/27/17,1:00-2:00pm,,Oana Ignat,,"Hosseini, Mohammad Javad, Hannaneh Hajishirzi, Oren Etzioni, and Nate Kushman",Learning to Solve Arithmetic Word Problems with Verb Categorization,EMNLP 2014,http://aclweb.org/anthology/D14-1058,,BBB 2725,LIT,Fall 2017,TRUE,
11/3/17,1:00-2:00pm,,Verónica Pérez-Rosas,,"Qin, Kechen, Lu Wang, and Joseph Kim",Joint Modeling of Content and Discourse Relations in Dialogues,ACL 2017,http://www.ccs.neu.edu/home/luwang/papers/ACL2017a.pdf,,BBB 2725,LIT,Fall 2017,TRUE,
