date,description,link,category
7/18/2016,"""What Men Say, What Women Hear: Finding Gender-Specific Meaning Shades” published in IEEE Magazine on Intelligent Systems",,LIT
7/1/2016,"""Analyzing Thermal and Visual Clues of Deception for a Non-Contact Deception Detection Approach” published in PETRA 2016",http://web.eecs.umich.edu/~mihalcea/papers/abouelenien.petra16deception.pdf,LIT
7/1/2016,"""Human Acute Stress Detection via Integration of Physiological Signals and Thermal Imaging” published in PETRA 2016",http://web.eecs.umich.edu/~mihalcea/papers/abouelenien.petra16stress.pdf,LIT
7/1/2016,"Rada Mihalcea Gives Keynote Talk, Deception Detection using Real-life Trial Data, at PETRA 2016",,LIT
6/30/2016,A Woman’s History of Silicon Valley,https://backchannel.com/a-womens-history-of-silicon-valley-feea9279d88a#.9setaklip,Girls Encoded
6/22/2016,CSE Faculty Amongst Researchers in Three of Four Funded MIDAS Projects,http://record.umich.edu/articles/transportation-learning-analytics-projects-get-data-science-funding,LIT
6/22/2016,Steve Wilson will present “Cultural Influences on the Measurement of Psychological Phenomena: Value-behavior Relationships in India and the United States” at the International Conference on Computational Social Science,,LIT
6/21/2016,Rada Mihalcea Leads Research Team to Develop Analytics for Learners as People,http://www.ns.umich.edu/new/releases/23994-u-m-data-science-projects-explore-connection-between-student-achievement-well-being,LIT
6/20/2016,Women in Computing Seminar: Maja Matarić,https://www.eecs.umich.edu/eecs/etc/events/showevent.cgi?3937,Girls Encoded
6/18/2016,"Rada Mihalcea Gives Keynote Talk, Deception Detection using Real-life Trial Data, at NAACL Workshop on Computational Approaches to Deception Detection, San Diego",,LIT
6/16/2016,"""Building a Motivational Interviewing Dataset” published in NAACL 2016 Workshop on Clinical Psychology",http://web.eecs.umich.edu/~mihalcea/papers/perezrosas.clpsych16.pdf,LIT
6/16/2016,"“SemEval-2016 Task 1: Semantic Textual Similarity, Monolingual and Cross-Lingual Evaluation” published in SemEval 2016",http://web.eecs.umich.edu/~mihalcea/papers/agirre.semeval16.pdf,LIT
6/6/2016,U-M researchers work to determine when people are lying,http://www.freep.com/story/news/local/michigan/2016/06/06/university-of-michigan-lie-detecting-software/84548270/,LIT
6/1/2016,Rada Mihalcea Coauthors New Book on Text Mining,http://www.eecs.umich.edu/eecs/about/articles/2016/Text-Mining-Book.html,LIT
6/1/2016,“Advances in Motivational Interviewing for Pediatric Obesity : Results of the Brief Motivational Interviewing to Reduce Body Mass Index Trial and Future Directions” published in New Directions in Behavioral Intervention Development for Pediatric Obesity,,LIT
5/23/2016,"""Building a Dataset for Possessions Identification in Text” published in LREC 2016",http://www.lrec-conf.org/proceedings/lrec2016/pdf/1105_Paper.pdf,LIT
5/14/2016,"Ho-gene Choe, Steven Wilson, and Konstantinos Pappas present work at Midwest Speech and Language Days and Midwest Computational Linguistics Colloquium 2016",http://linguistlist.org/msld2016/,LIT
4/26/2016,Girls Encoded motivates students to study CS,http://www.eecs.umich.edu/eecs/about/articles/2016/Girls-Encoded.html,"LIT, Girls Encoded"
3/30/2016,"Rada Mihalcea Gives Invited Talk at Oakland University, Deception Detection using Real-life Trial Data, ACM Women and Diversity in Technology Lecture Series, Rochester, MI",,LIT
3/21/2016,“Left-Handed or Right-Handed? A Data-Driven Approach to Analysing Characteristics of Handedness based on Language Use” published in AAAI Spring Symposium,http://web.eecs.umich.edu/~mihalcea/papers/choe.ossm16.pdf,LIT
3/21/2016,"""Cultural Influences on the Measurement of Personal Values through Words” published in AAAI Spring Symposium",http://web.eecs.umich.edu/~mihalcea/papers/wilson.ossm16.pdf,LIT
2/15/2016,Women in Computing Seminar: Mary Lou Soffa,https://www.eecs.umich.edu/eecs/etc/events/showevent.cgi?3820,Girls Encoded
2/12/2016,"""What’s Hot in Human Language Technology: Highlights from NAACL HLT 2015” published in AAAI 2016",http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/download/12552/12277,LIT
11/4/2015,Lie-detecting algorithm spots fibbing faces better than humans,https://www.newscientist.com/article/mg22830462-700-lie-detecting-algorithm-spots-fibbing-faces-better-than-humans/,LIT
3/23/2015,Women in Computing Seminar: Rosalind Picard,https://www.eecs.umich.edu/eecs/etc/events/showevent.cgi?3216,Girls Encoded
